Tag_ID,Deployment_Date,Year,Month,Month_Name,Year_Month,Latitude,Longitude,Calf? ,Tag-on Duration (hrs),Resting (%),Traveling (%),Foraging (%),Exploring (%),Resting (hrs),Traveling (hrs),Foraging (hrs),Exploring (hrs),Group,Notes,,
mn150321-3,2015-03-21 00:00:00,2015,3,March,2015-03,-62.1889,-64.6486,,5.923638889,15.20696269,13.69372242,0,71.09931489,0.900805556,0.811166667,0,4.211666667,Individual,No lunge file,,
mn150321-5,2015-03-21 00:00:00,2015,3,March,2015-03,-62.1889,-64.6486,,2.077333333,20.32520325,13.96689131,0,65.70790543,0.422222222,0.290138889,0,1.364972222,Individual,No lunge file,,
mn170218-31,2017-02-18 00:00:00,2017,2,February,2017-02,-64.1224,-65.1732,,17.52236111,4.386934156,4.425456361,17.80042961,73.38717987,0.768694444,0.775444444,3.119055556,12.85916667,Individual,,,
mn170320-30,2017-03-20 00:00:00,2017,3,March,2017-03,-62.6119,-64.6342,,31.069,7.056426377,5.816265588,0,87.12730803,2.192361111,1.807055556,0,27.06958333,Individual,Lunges didn't load correctly ,,
mn180227-40,2018-02-27 00:00:00,2018,2,February,2018-02,-62.6962,-64.799,,9.63,11.908,16.847,6.7199,64.526,1.1467404,1.6223661,0.64712637,6.2138538,Individual,,,
mn180227-41,2018-02-27 00:00:00,2018,2,February,2018-02,-62.7226,-64.7855,,26.2,7.6199,9.563,17.32,65.497,1.9964138,2.505506,4.53784,17.160214,Individual,,,
mn180227-43,2018-02-27 00:00:00,2018,2,February,2018-02,-62.6959,-64.7976,,27.14,6.8843,11.72,12.342,69.053,1.86839902,3.180808,3.3496188,18.7409842,Individual,,,
mn180227-44,2018-02-27 00:00:00,2018,2,February,2018-02,-62.7012,-64.795,,38.4,6.3317,19.497,7.7265,66.445,2.4313728,7.486848,2.966976,25.51488,Individual,,,
mn180227-45,2018-02-27 00:00:00,2018,2,February,2018-02,-62.7179,-64.7958,,0.25,10.795,5.6484,21.78,61.776,0.0269875,0.014121,0.05445,0.15444,Individual,,,
mn180227-46,2018-02-27 00:00:00,2018,2,February,2018-02,-62.6991,-64.793,,27.22,11.315,19.881,5.3947,63.409,3.079943,5.4116082,1.46843734,17.2599298,Individual,,,
mn180227-47,2018-02-27 00:00:00,2018,2,February,2018-02,-62.7165,-64.7868,Y,0.2578,2.5395,24.093,0,73.367,0.006546831,0.062111754,0,0.189140126,Mom_Calf,,,
mn180228-47,2018-02-28 00:00:00,2018,2,February,2018-02,-62.6551,-64.8394,,21.19,7.2397,7.1069,26.799,58.855,1.53409243,1.50595211,5.6787081,12.4713745,Individual,,,
mn180302-27,2018-03-02 16:02:00,2018,3,March,2018-03,-62.72,-64.8034,Y,20.08,11.1,4.8,16.9,67.3,2.22888,0.96384,3.39352,13.51384,Mom_Calf,,,
mn190203-22,2019-02-03 00:00:00,2019,2,February,2019-02,-64.2761,-64.9719,,33.05,11.753,7.981,0.81679,79.449,3.8843665,2.6377205,0.269949095,26.2578945,Individual,,,
mn190203-23,2019-02-03 00:00:00,2019,2,February,2019-02,-64.2781,-64.9788,,10.53,13.193,8.3923,1.3768,77.038,1.3892229,0.88370919,0.14497704,8.1121014,Individual,,,
mn190205-27,2019-02-05 00:00:00,2019,2,February,2019-02,-64.1098,-64.7471,,24.55,11.733,20.347,10.73,57.191,2.8804515,4.9951885,2.634215,14.0403905,Individual,,,
mn190205-40,2019-02-05 00:00:00,2019,2,February,2019-02,-64.1161,-64.7607,,37.56,2.0299,32.629,6.036,59.305,0.76243044,12.2554524,2.2671216,22.274958,Individual,,,
mn190212-27,2019-02-12 00:00:00,2019,2,February,2019-02,-64.0996,-64.7768,,7,3.8046,20.638,9.2386,66.319,0.266322,1.44466,0.646702,4.64233,Individual,,,
mn190212-40,2019-02-12 00:00:00,2019,2,February,2019-02,-64.1033,-64.7767,,6.03,0.45359,31.24,19.961,48.345,0.027351477,1.883772,1.2036483,2.9152035,Individual,,,
mn190215-40,2019-02-15 00:00:00,2019,2,February,2019-02,-64.1437,-64.7561,Y,14.95,11.099,7.48,22.762,58.652,1.6593005,1.11826,3.402919,8.768474,Mom_Calf,,,
mn190225-40,2019-02-25 00:00:00,2019,2,February,2019-02,-62.7565,-64.8028,,7.79,11.897,0.45158,45.151,42.5,0.9267763,0.035178082,3.5172629,3.31075,Individual,,,
