status,message,whaleName,depID,tagOnHours,pct_resting,pct_traveling,pct_foraging,pct_exploring,prhPath,folder,file,nSamples,nDives,nValidLunges
OK,,mn150321-3,mn150321-3,5.923638889,15.20696269,13.69372242,0,71.09931489,/Volumes/CATS/CATS/tag_analysis/data_processed/mn150321-3 (Antarctic)/mn150321-3 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn150321-3 (Antarctic),mn150321-3 10Hzprh,242798,32,0
OK,,mn150321-5,mn150321-5,2.077333333,20.32520325,13.96689131,0,65.70790543,/Volumes/CATS/CATS/tag_analysis/data_processed/mn150321-5 (Antarctic)/mn150321-5 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn150321-5 (Antarctic),mn150321-5 10Hzprh,81279,4,0
OK,,mn160113-11,mn160113-11,29.59011111,3.099853179,18.81653405,46.27991333,31.80369943,/Volumes/CATS/CATS/tag_analysis/data_processed/mn160113-11 (Antarctic)/mn160113-11 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn160113-11 (Antarctic),mn160113-11 10Hzprh,1069986,467,985
OK,,mn170218-31,mn170218-31,17.52236111,4.386934156,4.425456361,17.80042961,73.38717987,/Volumes/CATS/CATS/tag_analysis/data_processed/mn170218-31 (Antarctic)/mn170218-31 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn170218-31 (Antarctic),mn170218-31 10Hzprh,633750,149,449
OK,,mn170220-30,mn170220-30,2.458861111,6.129757453,0.915057784,0,92.95518476,/Volumes/CATS/CATS/tag_analysis/data_processed/mn170220-30 (Antarctic)/mn170220-30 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn170220-30 (Antarctic),mn170220-30 10Hzprh,95291,14,0
OK,,mn170320-30,mn170320-30,31.069,7.056426377,5.816265588,0,87.12730803,/Volumes/CATS/CATS/tag_analysis/data_processed/mn170320-30 (Antarctic)/mn170320-30 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn170320-30 (Antarctic),mn170320-30 10Hzprh,1123102,160,0
OK,,mn170322-30,mn170322-30,6.497777778,9.025735294,3.804719562,46.01145691,41.15808824,/Volumes/CATS/CATS/tag_analysis/data_processed/mn170322-30 (Antarctic)/mn170322-30 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn170322-30 (Antarctic),mn170322-30 10Hzprh,249763,33,244
OK,,mn180105-22a,mn180105-22a,0.035277778,1.102362205,37.16535433,0,61.73228346,/Volumes/CATS/CATS/tag_analysis/data_processed/mn180105-22a (Antarctic)/mn180105-22a 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn180105-22a (Antarctic),mn180105-22a 10Hzprh,7154,1,0
OK,,mn180105-22b,mn180105-22b,0.449111111,5.745917862,24.78970807,16.65635824,52.80801583,/Volumes/CATS/CATS/tag_analysis/data_processed/mn180105-22b (Antarctic)/mn180105-22b 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn180105-22b (Antarctic),mn180105-22b 10Hzprh,25122,6,1
OK,,mn180106-27,mn180106-27,56.99111111,13.58715784,11.1332664,6.407480699,68.87209506,/Volumes/CATS/CATS/tag_analysis/data_processed/mn180106-27 (Antarctic)/mn180106-27 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn180106-27 (Antarctic),mn180106-27 10Hzprh,2060984,515,605
