"Tag_ID","Deployment_Date","Year","Month","Month_Name","Year_Month","Latitude","Longitude","Calf.","Tag.on.Duration..hrs.","Resting....","Traveling....","Foraging....","Exploring....","Resting..hrs.","Traveling..hrs.","Foraging..hrs.","Exploring..hrs.","Group","Notes","X","X.1","Resting_min","Traveling_min","Foraging_min","Exploring_min","total_min","Resting_prop","Traveling_prop","Foraging_prop","Exploring_prop"
"mn170218-31","2017-02-18 00:00:00",2017,2,"February","2017-02",-64.1224,-65.1732,"",17.52236111,4.386934156,4.425456361,17.80042961,73.38717987,0.768694444,0.775444444,3.119055556,12.85916667,"Individual",NA,NA,NA,46,47,187,772,1052,0.0438693415230342,0.0442545635805004,0.17800429609386,0.733871798802605
"mn180227-40","2018-02-27 00:00:00",2018,2,"February","2018-02",-62.6962,-64.799,"",9.63,11.908,16.847,6.7199,64.526,1.1467404,1.6223661,0.64712637,6.2138538,"Individual",NA,NA,NA,69,97,39,373,578,0.119078928289645,0.168468483783646,0.0671983952144431,0.645254192712266
"mn180227-41","2018-02-27 00:00:00",2018,2,"February","2018-02",-62.7226,-64.7855,"",26.2,7.6199,9.563,17.32,65.497,1.9964138,2.505506,4.53784,17.160214,"Individual",NA,NA,NA,120,150,272,1030,1572,0.0761990761990762,0.0956300956300956,0.173200173200173,0.654970654970655
"mn180227-43","2018-02-27 00:00:00",2018,2,"February","2018-02",-62.6959,-64.7976,"",27.14,6.8843,11.72,12.342,69.053,1.86839902,3.180808,3.3496188,18.7409842,"Individual",NA,NA,NA,112,191,201,1124,1628,0.0688434819043733,0.117200820405743,0.123420863946048,0.690534833743836
"mn180227-44","2018-02-27 00:00:00",2018,2,"February","2018-02",-62.7012,-64.795,"",38.4,6.3317,19.497,7.7265,66.445,2.4313728,7.486848,2.966976,25.51488,"Individual",NA,NA,NA,146,449,178,1531,2304,0.0633168733662533,0.19496961006078,0.077264845470309,0.664448671102658
"mn180227-45","2018-02-27 00:00:00",2018,2,"February","2018-02",-62.7179,-64.7958,"",0.25,10.795,5.6484,21.78,61.776,0.0269875,0.014121,0.05445,0.15444,"Individual",NA,NA,NA,2,1,3,9,15,0.107950647703886,0.0564843389060334,0.217801306807841,0.61776370658224
"mn180227-46","2018-02-27 00:00:00",2018,2,"February","2018-02",-62.6991,-64.793,"",27.22,11.315,19.881,5.3947,63.409,3.079943,5.4116082,1.46843734,17.2599298,"Individual",NA,NA,NA,185,325,88,1036,1634,0.113150339451018,0.198810596431789,0.0539471618414855,0.634091902275707
"mn180227-47","2018-02-27 00:00:00",2018,2,"February","2018-02",-62.7165,-64.7868,"Y",0.2578,2.5395,24.093,0,73.367,0.006546831,0.062111754,0,0.189140126,"Mom_Calf",NA,NA,NA,0,4,0,11,15,0.0253951269756349,0.240931204656023,0,0.733673668368342
"mn180228-47","2018-02-28 00:00:00",2018,2,"February","2018-02",-62.6551,-64.8394,"",21.19,7.2397,7.1069,26.799,58.855,1.53409243,1.50595211,5.6787081,12.4713745,"Individual",NA,NA,NA,92,90,341,748,1271,0.0723965656206063,0.0710685735885585,0.267988392069648,0.588546468721188
"mn180302-27","2018-03-02 16:02:00",2018,3,"March","2018-03",-62.72,-64.8034,"Y",20.08,11.1,4.8,16.9,67.3,2.22888,0.96384,3.39352,13.51384,"Mom_Calf",NA,NA,NA,134,58,204,811,1207,0.110889110889111,0.047952047952048,0.168831168831169,0.672327672327672
"mn190203-22","2019-02-03 00:00:00",2019,2,"February","2019-02",-64.2761,-64.9719,"",33.05,11.753,7.981,0.81679,79.449,3.8843665,2.6377205,0.269949095,26.2578945,"Individual",NA,NA,NA,233,158,16,1575,1982,0.117530246813518,0.079810167601352,0.00816791715262602,0.794491668432504
"mn190203-23","2019-02-03 00:00:00",2019,2,"February","2019-02",-64.2781,-64.9788,"",10.53,13.193,8.3923,1.3768,77.038,1.3892229,0.88370919,0.14497704,8.1121014,"Individual",NA,NA,NA,83,53,9,487,632,0.131929868070132,0.0839229160770839,0.0137679862320138,0.77037922962077
"mn190205-27","2019-02-05 00:00:00",2019,2,"February","2019-02",-64.1098,-64.7471,"",24.55,11.733,20.347,10.73,57.191,2.8804515,4.9951885,2.634215,14.0403905,"Individual",NA,NA,NA,173,300,158,842,1473,0.117328826711733,0.203467965320347,0.10729892701073,0.57190428095719
"mn190205-40","2019-02-05 00:00:00",2019,2,"February","2019-02",-64.1161,-64.7607,"",37.56,2.0299,32.629,6.036,59.305,0.76243044,12.2554524,2.2671216,22.274958,"Individual",NA,NA,NA,46,735,136,1336,2253,0.0202990202990203,0.326290326290326,0.0603600603600604,0.593050593050593
"mn190212-27","2019-02-12 00:00:00",2019,2,"February","2019-02",-64.0996,-64.7768,"",7,3.8046,20.638,9.2386,66.319,0.266322,1.44466,0.646702,4.64233,"Individual",NA,NA,NA,16,87,39,279,421,0.0380459239081522,0.206379587240826,0.0923858152283695,0.663188673622653
"mn190212-40","2019-02-12 00:00:00",2019,2,"February","2019-02",-64.1033,-64.7767,"",6.03,0.45359,31.24,19.961,48.345,0.027351477,1.883772,1.2036483,2.9152035,"Individual",NA,NA,NA,2,113,72,175,362,0.00453591859726625,0.312401280845251,0.199610818404355,0.483451982153127
"mn190215-40","2019-02-15 00:00:00",2019,2,"February","2019-02",-64.1437,-64.7561,"Y",14.95,11.099,7.48,22.762,58.652,1.6593005,1.11826,3.402919,8.768474,"Mom_Calf",NA,NA,NA,100,67,204,526,897,0.110997769843889,0.0748052363665457,0.227635934515416,0.586561059274149
"mn190225-40","2019-02-25 00:00:00",2019,2,"February","2019-02",-62.7565,-64.8028,"",7.79,11.897,0.45158,45.151,42.5,0.9267763,0.035178082,3.5172629,3.31075,"Individual",NA,NA,NA,56,2,211,199,468,0.118970499676099,0.00451581896643966,0.451511896349965,0.425001785007497
"mn190225-44","2019-02-25 00:00:00",2019,2,"February","2019-02",-62.7517,-64.8077,"",0.68,18.08,9.1118,26.516,46.292,0.122944,0.06196024,0.1803088,0.3147856,"Individual",NA,NA,NA,7,4,11,19,41,0.180800361600723,0.0911181822363645,0.265160530321061,0.462920925841852
"mn190228-44","2019-02-28 00:00:00",2019,2,"February","2019-02",-62.4888,-64.8779,"",17.60430556,17.46573992,7.378403326,23.04518308,52.11067368,3.074722223,1.298916667,4.056944446,9.173722225,"Individual",NA,NA,NA,184,78,243,550,1055,0.174657399142835,0.0737840332581807,0.230451830771878,0.521106736827107
"mn190301-44","2019-03-01 00:00:00",2019,3,"March","2019-03",-62.5567,-64.8956,"",22.93438889,11.54174105,1.706074575,40.35352055,46.39866382,2.647027777,0.391277778,9.254833333,10.64125,"Individual",NA,NA,NA,159,23,555,638,1375,0.115417410506412,0.0170607457609097,0.403535205502791,0.463986638229887
"mn190304-40","2019-03-04 00:00:00",2019,3,"March","2019-03",-62.547,-64.8474,"",11.03836111,18.19085462,0.418993359,19.62600124,61.76415078,2.007972222,0.04625,2.166388889,6.81775,"Individual",NA,NA,NA,120,3,130,409,662,0.181908546187985,0.00418993359022389,0.196260012443436,0.617641507778355
"mn190304-42","2019-03-04 00:00:00",2019,3,"March","2019-03",-62.5787,-64.859,"",10.97394444,14.30788079,10.97321433,16.94215085,57.77675403,1.570138889,1.204194444,1.859222222,6.340388889,"Individual",NA,NA,NA,94,72,112,380,658,0.143078807899239,0.109732143273096,0.169421508509324,0.577767540318341
"mn190305-44","2019-03-05 00:00:00",2019,3,"March","2019-03",-62.5365,-64.8638,"",32.95316667,10.6471811,2.854809098,20.34638384,66.15162596,10.6471811,2.854809098,6.704777778,21.79905556,"Individual",NA,NA,NA,639,171,402,1308,2520,0.253469166980505,0.0679622218465342,0.159615434565968,0.518953176606993
"mn190306-42","2019-03-06 00:00:00",2019,3,"March","2019-03",-62.6526,-64.8328,"Y",18.45,12.732,7.8192,14.697,64.752,2.349054,1.4426424,2.7115965,11.946744,"Mom_Calf",NA,NA,NA,141,87,163,717,1108,0.127319745360509,0.0781918436163128,0.146969706060588,0.64751870496259
"mn200204-44","2020-02-04 00:00:00",2020,2,"February","2020-02",-64.1971,-64.9048,"",12.07019444,3.079440403,9.514943835,16.53913336,70.86648241,0.371694444,1.148472222,1.996305556,8.553722222,"Individual",NA,NA,NA,22,69,120,513,724,0.0307944039944416,0.0951494383399015,0.165391333607914,0.708664824057742
"mn200204-52","2020-02-04 00:00:00",2020,2,"February","2020-02",-64.19,-64.8928,"",22.5165,3.484975216,11.37511504,17.12657631,68.01333343,0.784694444,2.561277778,3.856305556,15.31422222,"Individual",NA,NA,NA,47,154,231,919,1351,0.034849752140417,0.113751150410921,0.171265763166679,0.680133334281983
"mn200219-52","2020-02-19 00:00:00",2020,2,"February","2020-02",-64.0809,-64.7838,"",8.916944444,2.293386499,5.607924987,10.28379178,81.81489673,0.2045,0.500055556,0.917,7.295388889,"Individual",NA,NA,NA,12,30,55,438,535,0.0229338649872008,0.0560792499139541,0.102837917815468,0.818148967283378
"mn200312-58","2020-03-12 00:00:00",2020,3,"March","2020-03",-61.6299,-64.5042,"",3.844805556,4.752443773,15.67338328,23.330901,56.24327195,0.182722222,0.602611111,0.897027778,2.162444444,"Individual",NA,NA,NA,11,36,54,130,231,0.0475244376825189,0.15673383279847,0.233309010083346,0.562432719435665
"mn200312-71","2020-03-12 00:00:00",2020,3,"March","2020-03",-61.6276,-64.4995,"",4.879555556,4.887740231,0.285772839,57.33958011,37.48690682,0.2385,0.013944444,2.797916667,1.829194444,"Individual",NA,NA,NA,14,1,168,110,293,0.0488774023190725,0.00285772829980619,0.573395801208375,0.374869068172747
"mn200313-59","2020-03-13 00:00:00",2020,3,"March","2020-03",-61.6429,-64.4946,"",25.32838889,10.68410282,11.34179697,35.34681111,42.6272891,2.706111111,2.872694444,8.952777778,10.79680556,"Individual",NA,NA,NA,162,172,537,648,1519,0.106841028161404,0.113417969699365,0.353468111052033,0.426272891087199
"mn200313-60","2020-03-13 00:00:00",2020,3,"March","2020-03",-61.6142,-64.5019,"",13.57777778,13.58653846,7.742839607,28.54459902,50.12602291,1.84475,1.051305556,3.875722222,6.806,"Individual",NA,NA,NA,111,63,233,408,815,0.135865384613161,0.0774283961034791,0.285445990158994,0.501260229124366
"mn200313-70","2020-03-13 00:00:00",2020,3,"March","2020-03",-61.6345,-64.4945,"",18.30158333,11.46197126,2.218387298,35.35683767,50.96280376,0.856,4.597888889,6.566861111,6.278138889,"Individual",NA,NA,NA,51,276,394,377,1098,0.0467787965265239,0.251266014941701,0.358866658562397,0.343088529969378
"mn200315-58","2020-03-15 00:00:00",2020,3,"March","2020-03",-61.9919,-64.5738,"",5.1875,8.575100402,28.68647925,0,62.73842035,1.420888889,0.707972222,6.367333333,4.410805556,"Individual",NA,NA,NA,85,42,382,265,774,0.110086688541102,0.0548518030526071,0.493324036026962,0.341737472379329
